Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
Function,"CreateOverlapId",D:\download\apollo-1.5.0\apollo-1.5.0\modules\map\hdmap\adapter\proto_organizer.cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,2,3,0,0,0,2,3,3,1,0,2,1,,,0,,0.00,
File,"D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\lidar_ex_checker\common\lidar_ex_checker_gflags.cc",D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\lidar_ex_checker\common\lidar_ex_checker_gflags.cc,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,28,5,7,4,0,15,0,1,,4,4,4,0,0,,0,,0,,2.14,0
File,"D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\lidar_ex_checker\common\lidar_ex_checker_gflags.h",D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\lidar_ex_checker\common\lidar_ex_checker_gflags.h,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,32,6,4,0,0,18,0,4,,4,4,4,0,0,,0,,0,,4.50,0
File,"D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\lidar_ex_checker\lidar_ex_checker.cc",D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\lidar_ex_checker\lidar_ex_checker.cc,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,207,37,144,4,0,17,0,11,,94,1,1,0,0,,0,,0,,0.12,0
File,"D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\lidar_ex_checker\lidar_ex_checker.h",D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\lidar_ex_checker\lidar_ex_checker.h,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,98,18,30,0,0,38,0,15,,23,0,0,0,0,,0,,0,,1.27,0
File,"D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\lidar_ex_checker\main.cc",D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\lidar_ex_checker\main.cc,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,23,3,1,0,0,15,0,4,,1,0,0,0,0,,0,,0,,15.00,0
File,"D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\republish_msg\common\republish_msg_gflags.cc",D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\republish_msg\common\republish_msg_gflags.cc,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,24,3,5,2,0,15,0,1,,2,2,2,0,0,,0,,0,,3.00,0
File,"D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\republish_msg\common\republish_msg_gflags.h",D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\republish_msg\common\republish_msg_gflags.h,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,26,5,2,0,0,16,0,4,,2,2,2,0,0,,0,,0,,8.00,0
File,"D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\republish_msg\main.cc",D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\republish_msg\main.cc,1,0,1,0,1,0.00,0.00,0,0,,,,0,,,,,,1,,,,,,,,,,,,,,23,3,1,1,1,15,0,4,,1,7,4,0,3,,1,,0,,15.00,1
File,"D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\republish_msg\republish_msg.cc",D:\download\apollo-1.5.0\apollo-1.5.0\modules\calibration\republish_msg\republish_msg.cc,10,2,8,0,1,0.00,0.00,0,0,,,,0,,,,,,6,,,,,,,,,,,,,,95,20,55,14,19,17,0,5,,35,22,5,0,17,,3,,2,,0.31,8
